"Numero di Clusters";"AngelaIndex";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;0.635;"0 : 18,1 : 80,2 : 53";70;"1 1 2 0 0 0 2 2 0 0 1 2 2 2 0 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 1 2 2 0 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.624;"0 : 25,1 : 79,2 : 47";77;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 2 1 2 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.622;"0 : 26,1 : 77,2 : 48";71;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 1 2 2 0 1 2 2 2 2 2 1 2 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 1 2 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.621;"0 : 27,1 : 76,2 : 48";78;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 2 1 2 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 1 2 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.62;"0 : 25,1 : 102,2 : 24";58;"1 1 2 0 0 0 2 0 0 0 1 2 2 2 0 2 2 2 2 2 0 2 2 0 2 2 2 2 0 0 2 2 2 1 0 1 0 2 1 1 2 1 1 1 1 1 2 1 0 1 1 0 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.618;"0 : 27,1 : 105,2 : 19";50;"1 1 0 2 0 0 2 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 2 2 2 2 1 0 1 0 2 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.617;"0 : 27,1 : 102,2 : 22";53;"1 1 0 2 0 0 2 2 0 0 1 2 2 2 0 2 2 2 2 2 0 0 2 0 2 1 2 2 0 2 2 2 2 1 0 1 0 2 1 1 2 1 1 1 1 1 2 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.616;"0 : 30,1 : 73,2 : 48";84;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 2 1 2 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 2 0 1 0 1 1 1 1 2 2 1 1 1 1 1 2 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.615;"0 : 28,1 : 104,2 : 19";47;"0 1 0 2 0 0 2 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 2 2 2 2 1 0 1 0 2 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.615;"0 : 28,1 : 102,2 : 21";59;"1 1 2 0 0 0 2 0 0 0 1 2 2 2 0 2 2 2 2 2 0 0 2 0 2 2 2 2 0 0 2 2 2 1 0 1 0 2 1 1 2 1 1 1 1 1 2 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.614;"0 : 29,1 : 103,2 : 19";51;"0 1 0 2 0 0 2 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 2 2 2 2 1 0 1 0 2 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.614;"0 : 29,1 : 101,2 : 21";54;"1 1 0 2 0 0 2 2 0 0 1 2 2 2 0 2 2 2 2 2 0 0 2 0 2 1 2 2 0 2 2 2 0 1 0 1 0 2 1 1 2 1 1 1 1 1 2 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.612;"0 : 30,1 : 101,2 : 20";60;"1 1 2 0 0 0 2 0 0 0 1 2 2 2 0 2 2 2 2 2 0 0 2 0 2 2 2 2 0 0 0 2 2 1 0 1 0 2 1 1 2 1 1 1 1 1 2 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.611;"0 : 32,1 : 75,2 : 44";72;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 1 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.61;"0 : 30,1 : 104,2 : 17";48;"0 1 0 2 0 0 2 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 2 2 0 0 1 0 1 0 2 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.609;"0 : 32,1 : 25,2 : 94";9;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 1 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.609;"0 : 34,1 : 67,2 : 50";17;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.609;"0 : 34,1 : 66,2 : 51";23;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.609;"0 : 33,1 : 74,2 : 44";79;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.608;"0 : 33,1 : 100,2 : 18";61;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 2 2 2 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.608;"0 : 35,1 : 105,2 : 11";108;"0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 1 1 1 1 2 0 1 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.607;"0 : 33,1 : 25,2 : 93";11;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 1 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.607;"0 : 35,1 : 65,2 : 51";24;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.607;"0 : 33,1 : 101,2 : 17";55;"1 1 0 2 0 0 2 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 1 2 2 0 2 2 0 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.607;"0 : 36,1 : 104,2 : 11";116;"0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 1 1 1 1 2 0 1 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.606;"0 : 36,1 : 65,2 : 50";18;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.606;"0 : 36,1 : 64,2 : 51";25;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.606;"0 : 35,1 : 68,2 : 48";91;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 2 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 2 0 1 0 1 1 1 1 2 2 1 1 1 1 0 2 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.605;"0 : 34,1 : 22,2 : 95";3;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.605;"0 : 34,1 : 25,2 : 92";13;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 1 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.605;"0 : 37,1 : 63,2 : 51";29;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 2 2 2 1 0 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.605;"0 : 34,1 : 100,2 : 17";62;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 2 2 0 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.605;"0 : 34,1 : 73,2 : 44";73;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 1 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 33,1 : 22,2 : 96";1;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.604;"0 : 37,1 : 63,2 : 51";26;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 0 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 35,1 : 72,2 : 44";74;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 1 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 35,1 : 72,2 : 44";80;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 36,1 : 71,2 : 44";85;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 2 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
